IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.64.175.250,3,2,0.33,61.46,0.00
104.23.117.254,3,1,0.67,30.45,0.00
104.22.3.173,3,1,0.67,31.24,0.00
104.22.201.254,3,1,0.67,32.08,0.00
141.101.122.106,3,1,0.67,32.37,0.00
104.24.201.111,3,1,0.67,32.59,0.00
172.67.82.41,3,1,0.67,32.80,0.00
104.16.113.44,3,1,0.67,32.82,0.00
104.24.208.171,3,1,0.67,32.88,0.00
103.31.7.143,3,1,0.67,33.04,0.00
162.158.244.170,3,1,0.67,33.17,0.00
141.101.101.24,3,1,0.67,33.18,0.00
104.29.80.112,3,1,0.67,33.23,0.00
104.25.124.22,3,1,0.67,33.24,0.00
172.65.183.17,3,1,0.67,33.26,0.00
104.24.207.3,3,1,0.67,33.27,0.00
172.66.148.155,3,1,0.67,33.29,0.00
172.67.231.24,3,1,0.67,33.36,0.00
104.20.33.27,3,1,0.67,33.52,0.00
172.67.109.149,3,1,0.67,33.52,0.00
104.31.231.12,3,1,0.67,33.73,0.00
141.101.108.8,3,1,0.67,33.74,0.00
141.101.117.184,3,1,0.67,33.75,0.00
104.24.206.193,3,1,0.67,33.86,0.00
104.21.123.173,3,1,0.67,33.89,0.00
104.19.237.19,3,1,0.67,33.91,0.00
104.25.133.227,3,1,0.67,34.00,0.00
172.64.108.131,3,1,0.67,34.08,0.00
104.18.49.52,3,1,0.67,34.08,0.00
104.26.36.72,3,1,0.67,34.17,0.00
104.31.255.156,3,1,0.67,34.20,0.00
104.27.54.128,3,1,0.67,34.35,0.00
141.101.118.1,3,1,0.67,34.47,0.00
104.20.171.204,3,1,0.67,34.60,0.00
104.19.252.16,3,1,0.67,34.62,0.00
104.28.186.174,3,1,0.67,34.71,0.00
104.24.127.121,3,1,0.67,34.86,0.00
104.31.64.160,3,1,0.67,34.88,0.00
108.162.225.128,3,1,0.67,35.04,0.00
104.21.252.202,3,1,0.67,35.07,0.00
104.25.1.64,3,1,0.67,35.11,0.00
104.17.201.118,3,1,0.67,35.13,0.00
108.162.201.208,3,1,0.67,35.17,0.00
162.158.163.146,3,1,0.67,35.22,0.00
172.65.16.183,3,1,0.67,35.62,0.00
103.31.5.219,3,1,0.67,35.68,0.00
104.22.188.187,3,1,0.67,35.68,0.00
104.20.206.52,3,1,0.67,35.75,0.00
104.29.78.74,3,1,0.67,36.01,0.00
104.20.201.183,3,1,0.67,36.13,0.00
141.101.100.163,3,1,0.67,36.31,0.00
104.22.59.12,3,1,0.67,36.33,0.00
104.16.209.14,3,1,0.67,36.40,0.00
104.20.205.134,3,1,0.67,36.47,0.00
104.27.48.244,3,1,0.67,36.56,0.00
104.27.174.172,3,1,0.67,37.03,0.00
104.20.204.87,3,1,0.67,37.31,0.00
104.20.202.157,3,1,0.67,38.83,0.00
104.27.184.40,3,1,0.67,39.30,0.00
172.66.186.90,3,1,0.67,39.46,0.00
104.27.44.72,3,1,0.67,39.59,0.00
141.101.98.10,3,1,0.67,39.61,0.00
172.67.29.167,3,1,0.67,40.27,0.00
104.30.139.67,3,1,0.67,40.29,0.00
104.20.203.209,3,1,0.67,40.55,0.00
